name,lat,lng,region,grade,crag,lists,description,url
Central Buttress (Brown Cove Crags),54.53310,-3.03690,Cumbria,Grade-3,Brown Cove Crags,ew_classics,"Grade 3 scramble · Brown Cove Crags

A Grade 3 buttress on Brown Cove Crags, Helvellyn's quiet western side — clean stepped rock finishing near Lower Man.",https://www.ukclimbing.com/logbook/crags/brown_cove_crags-1295/central_buttress-50996
Chockstone Ridge (Grey Crag),54.52220,-3.27940,Cumbria,M,Grey Crag (Buttermere),ew_classics+ridges_ewi,"Moderate (easy rock climb) · Grey Crag (Buttermere) · ★★

Rockfax: A long easy grade climb/scramble in an impressive location. Start on the left of the ridge just up from its base.
1) 20m. Move rightwards onto the ridge and follow it to a belay where it starts to steepen.
2) 12m. Move up the ridge and past a pinnacle to a belay.
3) 15m. Continue up to belay below a chimney.
4) 25m. Finish up the chimney and easier rock above it.",https://www.ukclimbing.com/logbook/crags/grey_crag_buttermere-381/chockstone_ridge-35937
Crenation Ridge (Pikes Crag),54.45360,-3.21860,Cumbria,D,Pikes Crag,ridges_ewi,"Difficult (easy rock climb) · Pikes Crag

A Diff ridge up Pikes Crag above Hollow Stones, facing Scafell across Mickledore — a mountaineering finish to Scafell Pike.",https://www.ukclimbing.com/logbook/crags/pikes_crag-716/crenation_ridge-49410
"Doves Nest Crags (Dove Nest Crag, Combe Ghyll)",54.49420,-3.15470,Cumbria,Grade-3,"Dove Nest Crag, Combe Ghyll",ew_classics,"Grade 3 scramble · Dove Nest Crag, Combe Ghyll · ★★

One tricky move near the rope where most people would find a rope is helpful",https://www.ukclimbing.com/logbook/crags/dove_nest_crag_combe_ghyll-2650/doves_nest_crags-57694
East Rib (Tarn Crag),54.45710,-3.09640,Cumbria,Grade-2,Tarn Crag (Langdale),ew_classics,"Grade 2 scramble · Tarn Crag (Langdale) · ★

Route following rib to the right of a holy bush in corner right of a steep wall.",https://www.ukclimbing.com/logbook/crags/tarn_crag_langdale-1613/east_rib-85250
East Ridge (Harrison Stickle),54.45640,-3.10940,Cumbria,Grade-2,Harrison Stickle,ew_classics+ridges_ewi,Grade 2 scramble · 170m · Harrison Stickle · ★,https://www.ukclimbing.com/logbook/crags/harrison_stickle-1826/east_ridge-50986
Easy Terrace and its continuation (Dow Crag),54.37030,-3.13660,Cumbria,Grade-3,Dow Crag,british_3_star+ew_classics,"Grade 3 scramble · 130m · Dow Crag · ★★★

Route 79 in Scrambles in the Lake District Volume 1 Southern Lakes",https://www.ukclimbing.com/logbook/crags/dow_crag_cumbria-355/easy_terrace_and_its_continuation-409335
Grains Gill and Allen Crags Scramble,54.46610,-3.18020,Cumbria,Grade-2,Allen Crags,ew_classics,"Grade 2 scramble · Allen Crags · ★★

A gentle gill-and-slabs scramble following Grains Gill up from Stockley Bridge towards Esk Hause and Allen Crags — a scrambly way into the heart of the Scafells.",https://www.ukclimbing.com/logbook/crags/allen_crags-14981/grains_gill_and_allen_crags_scramble-596533
Great Blake Rigg,54.38560,-3.14110,Cumbria,Grade-3,Great Blake Rigg,ew_classics,"Grade 3 scramble · 150m · Great Blake Rigg · ★★

This impressive buttress lies on the slopes of Grey Friar and overlooks the head of Seathwaithe Tarn. The Crags have a steep left wall, but the crest rises in a series of buttresses set at a reasonable angle. The upper sections offer easier alternatives, which tries to maintain the interest of the first section. Start below and right of the prominant line of overhangs, where a deep right-facing crack splits the crag.",https://www.ukclimbing.com/logbook/crags/great_blake_rigg-367/great_blake_rigg-72529
Great Carrs Buttress,54.39870,-3.12510,Cumbria,Grade-2,Great Carrs,ew_classics,"Grade 2 scramble · 230m · Great Carrs · ★★

A Grade 2 buttress scramble on Great Carrs at the head of the Greenburn valley — quiet Coniston-fells rock finishing near the summit.",https://www.ukclimbing.com/logbook/crags/great_carrs-14982/great_carrs_buttress-450700
Hall's Fell Ridge (Blencathra),54.63960,-3.04980,Cumbria,Grade-1,Blencathra,ridges_ewi,"Grade 1 scramble · Blencathra · ★★

Blencathra's finest line: a heathery spur from Threlkeld that narrows into the rocky arete of Narrow Edge, arriving exactly at the summit cairn. Wainwright called it the finest way to any mountain top in Lakeland.",https://www.ukclimbing.com/logbook/crags/blencathra-13876/halls_fell_ridge_summer-57027
Harrow Buttress (Grey Crag),54.52120,-3.27940,Cumbria,D,Grey Crag (Buttermere),ridges_ewi,"Difficult (easy rock climb) · Grey Crag (Buttermere) · ★★

Rockfax: A fine start to the day and a good way to access the slabs above. Start at a small corner at the very base of the buttress (the approach path leads to this point).
1) 8m. Climb the corner and arete to a ledge.
2) 20m. An awkward move starts the chimney just left of the belay. Continue above and then break left along a ledge and up left again to ledges and a block and nut belay.
3) 14m. Climb the easy-angled right-hand corner to a slight bulge, then move left before heading to the top of the buttress.",https://www.ukclimbing.com/logbook/crags/grey_crag_buttermere-381/harrow_buttress-4565
Helvellyn Gill (Swirl Crags),54.53720,-3.04810,Cumbria,Grade-1,Swirl Crags,ew_classics,"Grade 1 scramble · Swirl Crags

A Grade 1 splash up Helvellyn Gill beside the Thirlmere path — short waterfall steps, easily escaped, a fun start to the mountain.",https://www.ukclimbing.com/logbook/crags/swirl_crags-444/helvellyn_gill-302970
Honister Crag,54.51780,-3.21440,Cumbria,3S,Honister Crag,ew_classics,"Grade 3S scramble (serious) · Honister Crag · ★★

A big, serious 3S scramble up the gullied face of Honister Crag (Fleetwith Pike) above the pass — loose in places and needing care, but a tremendous position.",https://www.ukclimbing.com/logbook/crags/honister_crag-376/honister_crag-58494
Ill Gill (Kirk Fell),54.48330,-3.24410,Cumbria,3S,Kirk Fell,british_3_star+ew_classics,"Grade 3S scramble (serious) · Kirk Fell · ★★★

One of the Lakes' most interesting gill scrambles",https://www.ukclimbing.com/logbook/crags/kirk_fell-13887/ill_gill-67896
Intake Ridge (Intake Ridge/Glaciated Slab),54.50560,-3.15270,Cumbria,D,Intake Ridge/Glaciated Slab,ew_classics+ridges_ewi,"Difficult (easy rock climb) · 150m · Intake Ridge/Glaciated Slab · ★

Links a series of rocky steps above the intake wall to the left of Glaciated Slab",https://www.ukclimbing.com/logbook/crags/intake_ridgeglaciated_slab-760/intake_ridge-31087
Jack's Rake (Pavey Ark),54.46190,-3.10490,Cumbria,Grade-1,Pavey Ark,british_3_star+ew_classics,"Grade 1 scramble · Pavey Ark · ★★★

Fantastic scramble running up the face of Pavey Ark from bottom right to top left (if looking up from the tarn).",https://www.ukclimbing.com/logbook/crags/pavey_ark-342/jacks_rake-50985
Link Cove Gill (Link Cove Becks),54.50220,-2.96810,Cumbria,Grade-3,Link Cove Becks,british_3_star+ew_classics,"Grade 3 scramble · Link Cove Becks · ★★★

The left hand ravine and continuation stream provide a classic on clean, water washed rock.",https://www.ukclimbing.com/logbook/crags/link_cove_becks-1814/link_cove_gill_summer-50993
Long Crag Buttress (Long Crag Coniston),54.37400,-3.07980,Cumbria,Grade-1,Long Crag Coniston,british_3_star,"Grade 1 scramble · 160m · Long Crag Coniston · ★★★

A 160m Grade 1 buttress scramble on Long Crag in the Yewdale fells above Coniston — heathery ledges and clean rocky steps, a good short-day objective.",https://www.ukclimbing.com/logbook/crags/long_crag_coniston-22640/long_crag_buttress-193035
Lorton Gully (Grasmoor),54.57160,-3.27760,Cumbria,Grade-3,Grasmoor,british_3_star+ew_classics,"Grade 3 scramble · Grasmoor · ★★★

A long Grade 3 gully scramble splitting the north-west face of Grasmoor above Crummock Water — chockstone pitches and steep exits, best left for a dry spell.",https://www.ukclimbing.com/logbook/crags/grasmoor-3899/lorton_gully-67891
Low Birker Force (Scramble) (Birker Force Crag),54.38810,-3.25330,Cumbria,3S,Birker Force Crag,ew_classics,"Grade 3S scramble (serious) · Birker Force Crag · ★★

Summer Scramble described in the book Classic Mountain Scrambles in England & Wales by  Graham Thompson (1994).   The main cascades are avoided by grassy ramp on the left.",https://www.ukclimbing.com/logbook/crags/birker_force_crag-16024/low_birker_force_scramble-783337
Main Face (Pike of Stickle),54.45690,-3.12140,Cumbria,Grade-3,Pike of Stickle,british_3_star,"Grade 3 scramble · 240m · Pike of Stickle · ★★★

A direct 240m Grade 3 line up the main face of Pike o' Stickle from the Langdale screes, weaving between steep walls to finish on the summit dome.",https://www.ukclimbing.com/logbook/crags/pike_of_stickle-15060/main_face-122990
Mill Gill,54.56890,-3.04720,Cumbria,3S,Mill Gill,british_3_star+ew_classics,"Grade 3S scramble (serious) · Mill Gill · ★★★

A fine gill scramble up Mill Gill in St John's in the Vale — a staircase of waterfall pitches on sound rock, steeper and more sustained than its modest length suggests.",https://www.ukclimbing.com/logbook/crags/mill_gill-1865/mill_gill_summer-232671
Needle Ridge (The Napes),54.48015,-3.22022,Cumbria,VD,The Napes,ridges_ewi,"Very Difficult (easy rock climb) · 114m · The Napes · ★★★

Excellent, safe climbing in superb surroundings on good though polished rock. Start from the gap directly behind the Needle. 

1.) 12m, climb the very polished slab above to a chimney that trends left to a stance below a steep wall.

2.) 15m, the steep wall above, followed by easier rocks, leads to a broken wall. Climb the wall, then traverse 7m right to the rib.

3.) 25m, follow the rib above, then easy rocks to a corner which is climbed on the right.

4.) 12m, climb the groove on the left. Alternatively, climb the groove for 3m, then traverse right under the overhang and finish straight up. 

5.) 33m, easy scrambling to the top.

Rockfax: Classic ridge climbing providing unique views of Napes Needle. Start in the gap between the needle and main cliff.
1) 12m. Ascend a polished slab and then the wide crack/chimney to a ledge and belay.
2) 20m. Climb the steep wall via a crack, then continue up easier ground to a grassy col and belay under a chimney.
3) 14m. Climb the chimney and move left and up to a ledge.
4) 36m. Move up the corner and step left below an overhang to a crack that is followed to a belay on the ridge. Alternatively, move right below the overhang and up to the ridge.
5) 40m. Move easily along the ridge to the descent line.",https://www.ukclimbing.com/logbook/crags/the_napes-662/needle_ridge-8190
North-East Buttress (Gillercombe),54.50140,-3.20210,Cumbria,Grade-2,Gillercombe,ew_classics,"Grade 2 scramble · Gillercombe

As found in guidebook ""Scrambles and Easy Climbs in the Lake District"", by Jon Sparks & Judith Brown. Grade 2 scramble tackles rock just to the right of the main buttress above right of the largest scree fan. Also Called Rabbits Trod",https://www.ukclimbing.com/logbook/crags/gillercombe-763/north-east_buttress-90167
Pikes Crag Ridge,54.45260,-3.21860,Cumbria,VD,Pikes Crag,ridges_ewi,"Very Difficult (easy rock climb) · Pikes Crag · ★

Pitches 4 and 5 are severe but can be turned on the right",https://www.ukclimbing.com/logbook/crags/pikes_crag-716/pikes_crag_ridge-58417
Pillar Rock by Slab and Notch,54.49700,-3.28120,Cumbria,Grade-3,Pillar,british_3_star+ew_classics,"Grade 3 scramble · Pillar · ★★★

In 'Scrambles in the Lake District' by Brian Evans",https://www.ukclimbing.com/logbook/crags/pillar-519/pillar_rock_by_slab_and_notch-264543
"Pillar Rock, The Old West Route",54.49800,-3.28120,Cumbria,M,Pillar,british_3_star,"Moderate (easy rock climb) · Pillar · ★★★

In 'Scrambles in the Lake District' by Brian Evans

Rockfax: A fantastic, historic way up to the summit of Pillar Rock, and a well used descent from Low Man's summit. It is often soloed but is easily split into pitches. Start at the base of an easy-angled rake that meets the bed of Western Gully just down from the base of Rib and Slab Climb's pale intrusion of rock. Follow the rake up a well worn series of grassy ledges, slabs and corners to gain the summit of Low Man. Move up to a higher grassy terrace, then head up right over worn rock and blocks towards the summit.",https://www.ukclimbing.com/logbook/crags/pillar-519/pillar_rock_the_old_west_route-264544
Pinnacle Ridge (St. Sunday Crag),54.51200,-2.97580,Cumbria,Grade-3,St. Sunday Crag,british_3_star+ew_classics+ridges_ewi,"Grade 3 scramble · St. Sunday Crag · ★★★

Being 4.5 miles in the round from Patterdale.   Some climbers will say the hardest part of Pinnacle Ridge is actually finding it! With a scrambling Grade 3, many climbers  believe the ridge does not merit such a high grade as there are many escape routes.  Looking up from the Grisedale trench you can see the obvious prominent exit area of East Chockstone gully, Pinnacle Ridge is 180 meters to the left of this.  The starting point is a gun like shaped rock known as the Cannon, although before you reach this you will see a small withered tree still standing to the right as you approach the ridge, scrambling on from the Cannon you will come across the giant slabs which are smooth and have little grip, in wet or icy weather these can be difficult to traverse.  I once read that wearing an old sock over your boot will afford better grip, I tried this technique and yes it does work.  From the slabs the ridge continues with no real route finding problems, suddenly you find yourself at the crux wall standing some 6 meters in height,this being the only real pitch on the route and best climbed from the corner.  The crux wall will pose no problems for the accomplished rock climber but I have always roped here . Atop of the crux wall is a prominent rock which can be used to secure a belay .  From there you can see the Pinnacles, many climbers shuffle across them , all afford good grip.  Having Scrambling down the final Pinnacle cross to the left then up the well worn path turning right to the summit of St Sunday.  There are escape routes to the left or dropping down to the easy gully which runs parallel to the right of the ridge.  Whether or not the Grade 3 rating is warranted is I believe a personal choice and best left to the individual climber , the difficulty of the ridge will always depend on the weather conditions with snow and ice the route takes on Alpine proportions ...........Big Hell",https://www.ukclimbing.com/logbook/crags/st_sunday_crag-449/pinnacle_ridge-7787
Sandbed Gill Scramble,54.58670,-3.05360,Cumbria,3S,Sandbed Gill,british_3_star+ew_classics,"Grade 3S scramble (serious) · Sandbed Gill · ★★★

A tight ravine scramble in St John's in the Vale — steep chockstone pitches stacked into a narrow slot. Graded 3S: serious, escapes are poor and it needs dry conditions.",https://www.ukclimbing.com/logbook/crags/sandbed_gill-1866/sandbed_gill_scramble-270542
Sharp Edge (Blencathra),54.64060,-3.04980,Cumbria,Grade-1,Blencathra,british_3_star+ew_classics+ridges_ewi,"Grade 1 scramble · Blencathra · ★★★

Sharp Edge is Blencathra's famous arete above Scales Tarn — short but genuinely knife-edged, with polished rock and real consequence in the wet or wind. Finish up the headwall to the summit plateau.",https://www.ukclimbing.com/logbook/crags/blencathra-13876/sharp_edge_summer-94645
Sourmilk Gill,54.49920,-3.18580,Cumbria,Grade-2,Sourmilk Gill,british_3_star,"Grade 2 scramble · 350m · Sourmilk Gill · ★★★

The waterfall gill above Seathwaite in Borrowdale, climbed direct beside (and in) the cascades. A Lakeland gill-scramble classic — polished when busy, serious when wet.",https://www.ukclimbing.com/logbook/crags/sourmilk_gill-1846/sourmilk_gill-26891
South East Face (Ill Crag),54.45560,-3.20000,Cumbria,Grade-3,Ill Crag,british_3_star+ew_classics,"Grade 3 scramble · Ill Crag · ★★★

A long, open scramble up the south-east face of Ill Crag above upper Eskdale — remote Scafell-massif ground with endless clean boiler-plate rock and a wild approach.",https://www.ukclimbing.com/logbook/crags/ill_crag-14860/south_east_face-186333
Sphinx Ridge (The Napes),54.48015,-3.21858,Cumbria,Grade-2,The Napes,ridges_ewi,"Grade 2 scramble · 830m · The Napes · ★

The Lake District is not blessed with many decent scrambling ridges, but Sphinx Ridge is definitely a good'un. Climbers on The Napes often use it as a descent route, but it is worthwhile in its own right too. 



Quit the Traverse path just before reaching the buttress that backs The Sphinx and go carefully right up an unsafe scree gully. As soon as practical, move left onto the crest of Sphinx Ridge at a level pinnacled section. Climb a couple of airy pinnacles to reach a slabby rib, which is climbed in quite an exciting position until the difficulty forces you right. Foot traverse a narrow heathery ledge across the rib’s right flank to briefly re-enter the gully. From here just follow the upper crest, with discontinuous rocky sections where you can alter the line to suit your ability. The last (optional) obstacle is a steep wall with some suspect blocks, topped by a polished groove. Above this Sphinx Ridge merges with the unusual neck that forms the junction of all The Napes' ridges. Walk up the grassy crest.",https://www.ukclimbing.com/logbook/crags/the_napes-662/sphinx_ridge-247003
Stickle ghyll (Harrison Stickle),54.45740,-3.10940,Cumbria,Grade-1,Harrison Stickle,ew_classics,"Grade 1 scramble · Harrison Stickle · ★★

The popular Grade 1 gill scramble up Stickle Ghyll to Stickle Tarn — polished, sociable and easily varied, with Pavey Ark waiting above.",https://www.ukclimbing.com/logbook/crags/harrison_stickle-1826/stickle_ghyll-524587
Striding Edge (Helvellyn),54.52800,-3.01880,Cumbria,Grade-1,Helvellyn,british_3_star+ridges_ewi,"Grade 1 scramble · 863m · Helvellyn · ★★★

Walk in from either Patterdale or Glenridding to Helvellyn's south eastern ridge, from the hole in the wall you start the ridge proper. Follow this all the way to Helvellyn's flat summit, a path handrails the ridge just below the crest for less exposure.",https://www.ukclimbing.com/logbook/crags/helvellyn-13902/striding_edge_summer-166902
Swirral Edge (Helvellyn),54.52700,-3.01880,Cumbria,Grade-1,Helvellyn,ridges_ewi,"Grade 1 scramble · 850m · Helvellyn · ★★

Helvellyn's northeastern ridge, can be approached from either Glenridding or Patterdale.  Usually done with Striding Edge as a horseshoe. Nice exposure but a little short.",https://www.ukclimbing.com/logbook/crags/helvellyn-13902/swirral_edge_summer-176363
"Tarn Beck (Tarn Beck, Duddon Valley.)",54.37640,-3.17140,Cumbria,Grade-2,"Tarn Beck, Duddon Valley.",ew_classics,"Grade 2 scramble · Tarn Beck, Duddon Valley.

Start from the north side of the bridge over the beck, follow up as close to the stream as you can.",https://www.ukclimbing.com/logbook/crags/tarn_beck_duddon_valley-4041/tarn_beck-71594
The Climber's Traverse (The Napes),54.48050,-3.21940,Cumbria,Grade-2,The Napes,ew_classics+ridges_ewi,"Grade 2 scramble · The Napes · ★★★

This route takes in some of the most famous scenery in the Lake District. It starts out by traversing screes below Kern Knotts Crag before veering steeply up behind Napes Needle and traversing the base of the crags which hang high over Wasdale Head. Thread the Needle, then follow the polished line along the base of Eagle's Nest Ridge and Arrowhead Ridge.



Approaching from Wasdale traverse left below the high crags of Kern Knotts over rocky terrain. Continue over screes past Tophet Wall until the Needle appears prominently above you. At this point the scramble turns right up to the cleft right of the Needle, from here an easy but strenuous chimney takes you to the gap at back of the Needle.



A long and polished step down takes you to the start of the Climbers' Traverse. The traverse winds an obvious and natural line around the base of the crags, several short gully descents and rocky steps add interest. The route leads naturally into Sphinx Ridge.",https://www.ukclimbing.com/logbook/crags/the_napes-662/the_climbers_traverse-50982
The Esk Gorge (Esk Buttress),54.44830,-3.19830,Cumbria,Grade-2,Esk Buttress (Dow Crag),british_3_star,"Grade 2 scramble · Esk Buttress (Dow Crag) · ★★★

The long main gorge which drains from the Great Moss provides a superb scramble. It is rarely in condition and needs a good dry spell to be climbable. 



Can also be ascended in wetsuit etc. when too wet for a dry scramble. Start at Lingcove Bridge (NY227036) it is easily escapable if any of the falls look to serious.",https://www.ukclimbing.com/logbook/crags/esk_buttress_dow_crag-724/the_esk_gorge-51052
The Napes and Westmorland's Crag,54.47960,-3.21889,Cumbria,Grade-2,The Napes,ridges_ewi,"Grade 2 scramble · The Napes · ★★★

A Grade 2 link-up over the Napes ridges and on up Westmorland's Crag to Great Gable's summit — threading Napes Needle country by its easiest lines.",https://www.ukclimbing.com/logbook/crags/the_napes-662/the_napes_and_westmorlands_crag-57023
Thor's Buttress and Pen (Esk Buttress),54.44730,-3.19830,Cumbria,Grade-3,Esk Buttress (Dow Crag),british_3_star+ew_classics,"Grade 3 scramble · Esk Buttress (Dow Crag) · ★★★

A link-up on the Eskdale flank of Scafell Pike taking Thor's Buttress and the Pen — rough, remote slabs and blocky ridges high above the Great Moss.",https://www.ukclimbing.com/logbook/crags/esk_buttress_dow_crag-724/thors_buttress_and_pen-343167
West Ridge (Pike of Stickle),54.45590,-3.12140,Cumbria,Grade-3,Pike of Stickle,ew_classics+ridges_ewi,"Grade 3 scramble · 70m · Pike of Stickle · ★★

A short ridge up the west ridge. In a good position. Begin from a small platform.",https://www.ukclimbing.com/logbook/crags/pike_of_stickle-15060/west_ridge-50992
Wistow Crags Scramble,54.49270,-3.27600,Cumbria,Grade-2,Wistow Crags,british_3_star+ew_classics,"Grade 2 scramble · 250m · Wistow Crags · ★★★

Start at the lowest point of the buttress. Climb easily keeping to the best rock. The climb is split in three similar height stages. The first is until a large grassy ledge, the second until the side gullies close in and form a ridge and the third is from here to the top. Another warning to be careful of loose rock.",https://www.ukclimbing.com/logbook/crags/wistow_crags-12120/wistow_crags_scramble-155544
Alport Castles Tower,53.42060,-1.78860,Derbyshire,Grade-1,Alport Castles,dark_peak,"Grade 1 scramble · Alport Castles

Traverse the tower from SE to NW. Route 22 in Scrambles in the Dark Peak.",https://www.ukclimbing.com/logbook/crags/alport_castles-21526/alport_castles_tower-349465
Arpeggio Gully (Kinder Downfall),53.39660,-1.87870,Derbyshire,Grade-3,Kinder Downfall,british_3_star+dark_peak,"Grade 3 scramble · 90m · Kinder Downfall · ★★★

A gully scramble beside Kinder Downfall, the Peak District's biggest waterfall — gritstone steps and chokestones right of the fall, finishing on the Kinder plateau.",https://www.ukclimbing.com/logbook/crags/kinder_downfall-134/arpeggio_gully_summer-335017
Ashton Clough (Lower Shelf Stones),53.44950,-1.87230,Derbyshire,Grade-1,Lower Shelf Stones,dark_peak,Grade 1 scramble · Lower Shelf Stones,https://www.ukclimbing.com/logbook/crags/lower_shelf_stones-16451/ashton_clough_summer-349462
